Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,0.0,0.016047301,4.0,249.8092,OUT049,1999,1.0,0.0,1.0,3735.138
DRC01,5.92,1.0,0.019278216,14.0,48.2692,OUT018,2009,1.0,2.0,2.0,443.4228
FDN15,17.5,0.0,0.016760075,10.0,141.618,OUT049,1999,1.0,0.0,1.0,2097.27
FDX07,19.2,1.0,0.0,6.0,182.095,OUT010,1998,1.0,2.0,0.0,732.38
NCD19,8.93,0.0,0.0,9.0,53.8614,OUT013,1987,0.0,2.0,1.0,994.7052
FDP36,10.395,1.0,0.0,0.0,51.4008,OUT018,2009,1.0,2.0,2.0,556.6088
FDO10,13.65,1.0,0.012741089,13.0,57.6588,OUT013,1987,0.0,2.0,1.0,343.5528
FDP10,12.857645184136183,0.0,0.127469857,13.0,107.7622,OUT027,1985,1.0,2.0,3.0,4022.7636
FDH17,16.2,1.0,0.016687114,5.0,96.9726,OUT045,2002,1.0,1.0,1.0,1076.5986
FDU28,19.2,1.0,0.09444959,5.0,187.8214,OUT017,2007,1.0,1.0,1.0,4710.535
FDY07,11.8,0.0,0.0,6.0,45.5402,OUT049,1999,1.0,0.0,1.0,1516.0266
FDA03,18.5,1.0,0.045463773,4.0,144.1102,OUT046,1997,2.0,0.0,1.0,2187.153
FDX32,15.1,1.0,0.1000135,6.0,145.4786,OUT049,1999,1.0,0.0,1.0,1589.2646
FDS46,17.6,1.0,0.047257328,13.0,119.6782,OUT046,1997,2.0,0.0,1.0,2145.2076
FDF32,16.35,0.0,0.0680243,6.0,196.4426,OUT013,1987,0.0,2.0,1.0,1977.426
FDP49,9.0,1.0,0.069088961,2.0,56.3614,OUT046,1997,2.0,0.0,1.0,1547.3192
NCB42,11.8,0.0,0.008596051,8.0,115.3492,OUT018,2009,1.0,2.0,2.0,1621.8888
FDP49,9.0,1.0,0.069196376,2.0,54.3614,OUT049,1999,1.0,0.0,1.0,718.3982
DRI11,12.857645184136183,0.0,0.034237682,7.0,113.2834,OUT027,1985,1.0,2.0,3.0,2303.668
FDU02,13.35,0.0,0.10249212,4.0,230.5352,OUT035,2004,2.0,1.0,1.0,2748.4224
FDN22,18.85,1.0,0.138190277,13.0,250.8724,OUT013,1987,0.0,2.0,1.0,3775.086
FDW12,12.857645184136183,1.0,0.035399923,0.0,144.5444,OUT027,1985,1.0,2.0,3.0,4064.0432
NCB30,14.6,0.0,0.025698134,9.0,196.5084,OUT035,2004,2.0,1.0,1.0,1587.2672
